hit_id,x,y,z,volume_id,layer_id,module_id
1,-56.4615,-9.23338,-1502.5,7,2,1
2,-56.3736,-1.95404,-1502.5,7,2,1
3,-92.2213,-8.888,-1502.5,7,2,1
4,-100.355,-13.7913,-1502.5,7,2,1
5,-71.3657,-2.88317,-1502.5,7,2,1
6,-39.8113,4.71092,-1502.5,7,2,1
7,-94.5684,-4.60896,-1502.5,7,2,1
8,-90.7091,-0.142391,-1502.5,7,2,1
9,-81.3208,-11.892,-1502.5,7,2,1
10,-54.8008,-12.3627,-1502.5,7,2,1
11,-82.0885,-1.41997,-1502.5,7,2,1
12,-91.6702,-12.3053,-1502.5,7,2,1
13,-84.7218,-0.222884,-1502.5,7,2,1
14,-99.124,-5.06236,-1502.5,7,2,1
15,-70.6907,-6.44118,-1502.5,7,2,1
16,-97.9215,-9.58739,-1502.5,7,2,1
17,-167.548,-10.9554,-1502,7,2,2
18,-146.726,-6.9087,-1502,7,2,2
19,-135.097,-10.0249,-1502,7,2,2
20,-112.337,-11.4753,-1502,7,2,2
21,-130.134,0.765797,-1502,7,2,2
22,-133.741,-2.60693,-1502,7,2,2
23,-160.769,-12.9137,-1502,7,2,2
24,-136.791,-5.04787,-1502,7,2,2
25,-114.397,-14.317,-1498,7,2,3
26,-112.013,-11.4602,-1498,7,2,3
27,-119.381,-21.0199,-1498,7,2,3
28,-173.471,-20.4794,-1498,7,2,3
29,-113.287,-23.9055,-1498,7,2,3
30,-129.94,-22.1898,-1498,7,2,3
31,-158.015,-18.9879,-1498,7,2,3
32,-77.859,-25.7626,-1498,7,2,4
33,-81.0762,-11.8801,-1498,7,2,4
34,-93.5343,-26.4921,-1498,7,2,4
35,-67.8833,-21.7736,-1498,7,2,4
36,-61.0283,-17.5569,-1498,7,2,4
37,-78.018,-18.1905,-1498,7,2,4
38,-54.6488,-12.323,-1498,7,2,4
39,-97.8399,-27.8343,-1498,7,2,4
40,-63.9494,-22.0369,-1498,7,2,4
41,-58.4716,-15.1947,-1498,7,2,4
42,-133.167,-32.8872,-1502,7,2,5
43,-148.554,-29.6234,-1502,7,2,5
44,-161.669,-31.3725,-1502,7,2,5
45,-113.607,-23.9207,-1502,7,2,5
46,-118.663,-21.0309,-1502,7,2,5
