hit_id,x,y,z,volume_id,layer_id,module_id
1,-88.4143,-9.94256,-1502.5,7,2,1
2,-91.2902,-2.79616,-1502.5,7,2,1
3,-57.6708,-7.22206,-1502.5,7,2,1
4,-55.6185,-7.96333,-1502.5,7,2,1
5,-90.4489,-10.0024,-1502.5,7,2,1
6,-76.0648,-1.24682,-1502.5,7,2,1
7,-56.5931,-6.33477,-1502.5,7,2,1
8,-91.8874,-3.09394,-1502.5,7,2,1
9,-93.8898,-0.593334,-1502.5,7,2,1
10,-97.1916,-1.65567,-1502.5,7,2,1
11,-61.7634,-8.74787,-1502.5,7,2,1
12,-81.0725,-14.33,-1502.5,7,2,1
13,-59.0256,-4.82095,-1502.5,7,2,1
14,-79.3218,-7.07031,-1502.5,7,2,1
15,-87.579,-13.3876,-1502.5,7,2,1
16,-66.39,-12.0711,-1502.5,7,2,1
17,-66.1628,-12.3542,-1502.5,7,2,1
18,-173.218,-14.3401,-1502,7,2,2
19,-148.743,-9.60473,-1502,7,2,2
20,-107.579,-11.2053,-1502,7,2,2
21,-129.392,-5.50666,-1502,7,2,2
22,-105.838,-4.66794,-1502,7,2,2
23,-152.758,0.170305,-1502,7,2,2
24,-144.506,-13.5633,-1502,7,2,2
25,-148.637,-13.4039,-1502,7,2,2
26,-145.734,-0.405916,-1502,7,2,2
27,-104.511,-20.8134,-1498,7,2,3
28,-144.092,-13.5623,-1498,7,2,3
29,-132.808,-21.9841,-1498,7,2,3
30,-136.712,-14.7653,-1498,7,2,3
31,-107.287,-11.1544,-1498,7,2,3
32,-136.739,-24.6023,-1498,7,2,3
33,-134.936,-25.8653,-1498,7,2,3
34,-112.112,-18.0874,-1498,7,2,3
35,-148.264,-13.3366,-1498,7,2,3
36,-169.072,-17.2993,-1498,7,2,3
37,-61.5825,-8.7427,-1498,7,2,4
38,-57.3611,-22.2299,-1498,7,2,4
39,-80.8441,-14.2926,-1498,7,2,4
40,-77.0498,-20.9405,-1498,7,2,4
41,-81.7893,-22.644,-1498,7,2,4
42,-84.9213,-17.791,-1498,7,2,4
43,-57.4993,-7.19679,-1498,7,2,4
44,-55.4653,-7.95847,-1498,7,2,4
45,-56.436,-6.32448,-1498,7,2,4
46,-73.3827,-14.4038,-1498,7,2,4
47,-55.9906,-14.4449,-1498,7,2,4
48,-65.9878,-12.32,-1498,7,2,4
49,-56.2674,-18.1108,-1498,7,2,4
50,-81.3964,-20.1843,-1498,7,2,4
51,-66.2991,-23.8101,-1498,7,2,4
52,-58.0338,-19.5118,-1498,7,2,4
53,-60.8909,-21.0205,-1498,7,2,4
54,-92.4546,-20.6281,-1498,7,2,4
55,-87.3232,-13.3285,-1498,7,2,4
56,-66.1789,-12.0059,-1498,7,2,4
57,-73.3648,-19.1817,-1498,7,2,4
58,-61.7199,-13.7121,-1498,7,2,4
59,-54.3147,-14.1968,-1498,7,2,4
60,-158.351,-33.1603,-1502,7,2,5
61,-132.132,-34.3388,-1502,7,2,5
62,-104.801,-20.8223,-1502,7,2,5
63,-112.422,-18.1461,-1502,7,2,5
64,-170.525,-36.5914,-1502,7,2,5
65,-116.289,-27.993,-1502,7,2,5
66,-117.964,-34.1397,-1502,7,2,5
67,-127.918,-27.9544,-1502,7,2,5
68,-131.747,-37.3817,-1502,7,2,5
69,-124.474,-37.4173,-1502,7,2,5
70,-115.273,-34.2774,-1502,7,2,5
71,-135.301,-25.9926,-1502,7,2,5
72,-137.082,-24.7166,-1502,7,2,5
73,-155.076,-38.5024,-1502,7,2,5
74,-138.513,-38.305,-1502,7,2,5
75,-58.2017,-32.4694,-1502,7,2,6
76,-57.5306,-22.2875,-1502,7,2,6
77,-58.1824,-19.581,-1502,7,2,6
78,-55.9352,-23.6833,-1502,7,2,6
79,-89.0548,-34.8582,-1502,7,2,6
80,-61.0298,-21.0851,-1502,7,2,6
81,-55.635,-26.319,-1502,7,2,6
82,-66.503,-23.8934,-1502,7,2,6
83,-72.6986,-28.1915,-1502,7,2,6
84,-56.3853,-18.1871,-1502,7,2,6
85,-69.083,-30.5905,-1502,7,2,6
86,-54.5,-14.2132,-1502,7,2,6
87,-79.91,-38.2682,-1502,7,2,6
88,-58.7636,-32.0527,-1502,7,2,6
89,-56.1411,-14.5141,-1502,7,2,6
90,-68.1717,-25.4505,-1502,7,2,6
91,-104.498,-32.9414,-1498,7,2,7
92,-145.191,-56.8633,-1498,7,2,7
93,-138.126,-38.2532,-1498,7,2,7
94,-131.398,-37.2638,-1498,7,2,7
95,-162.777,-60.9119,-1498,7,2,7
96,-114.971,-34.184,-1498,7,2,7
97,-117.63,-34.1116,-1498,7,2,7
98,-119.107,-45.3258,-1498,7,2,7
99,-160.762,-46.4729,-1498,7,2,7
100,-124.144,-37.3111,-1498,7,2,7
101,-119.421,-45.4328,-1502,7,2,8
102,-120.245,-53.1754,-1502,7,2,8
103,-139.847,-67.132,-1502,7,2,8
104,-126.18,-58.2555,-1502,7,2,8
105,-150.266,-64.7366,-1502,7,2,8
106,-47.9981,-31.7882,-1497.5,7,2,9
107,-67.2362,-50.6143,-1497.5,7,2,9
108,-45.4908,-37.1715,-1497.5,7,2,9
109,-58.5892,-31.9452,-1497.5,7,2,9
110,-64.7505,-43.6374,-1497.5,7,2,9
111,-41.8376,-34.1704,-1497.5,7,2,9
112,-55.9794,-26.2997,-1497.5,7,2,9
113,-44.8401,-34.8962,-1497.5,7,2,9
114,-63.0013,-41.2168,-1497.5,7,2,9
115,-74.793,-44.6897,-1497.5,7,2,9
116,-65.5507,-38.4982,-1497.5,7,2,9
117,-86.91,-45.3713,-1497.5,7,2,9
