hit_id,x,y,z,volume_id,layer_id,module_id
1,-84.3722,-6.81578,-1502.5,7,2,1
2,-56.1959,-5.78953,-1502.5,7,2,1
3,-73.3216,-8.30334,-1502.5,7,2,1
4,-83.4718,-9.65388,-1502.5,7,2,1
5,-85.3504,-12.2593,-1502.5,7,2,1
6,-75.3743,-10.0197,-1502.5,7,2,1
7,-63.211,-2.54232,-1502.5,7,2,1
8,-64.4832,0.717917,-1502.5,7,2,1
9,-66.1406,-6.18339,-1502.5,7,2,1
10,-56.6417,-4.28226,-1502.5,7,2,1
11,-40.141,-3.68093,-1502.5,7,2,1
12,-93.6654,-0.575681,-1502.5,7,2,1
13,-78.615,1.76237,-1502.5,7,2,1
14,-74.0359,-11.9707,-1502.5,7,2,1
15,-57.7714,-9.28632,-1502.5,7,2,1
16,-78.2815,-2.47453,-1502.5,7,2,1
17,-132.574,-4.90298,-1502,7,2,2
18,-105.769,-9.82024,-1502,7,2,2
19,-107.328,-6.53876,-1502,7,2,2
20,-148.207,-19.9419,-1498,7,2,3
21,-107.015,-6.57284,-1498,7,2,3
22,-136.787,-26.3254,-1498,7,2,3
23,-158.478,-26.0193,-1498,7,2,3
24,-147.55,-23.3842,-1498,7,2,3
25,-118.265,-23.6407,-1498,7,2,3
26,-173.571,-24.5403,-1498,7,2,3
27,-124.662,-24.5332,-1498,7,2,3
28,-105.487,-9.79258,-1498,7,2,3
29,-135.458,-19.6782,-1498,7,2,3
30,-121.477,-24.2907,-1498,7,2,3
31,-113.874,-20.3892,-1498,7,2,3
32,-70.9099,-21.2147,-1498,7,2,4
33,-66.4639,-24.3124,-1498,7,2,4
34,-73.7788,-11.9279,-1498,7,2,4
35,-68.3698,-11.5549,-1498,7,2,4
36,-84.408,-19.2619,-1498,7,2,4
37,-98.0526,-21.4064,-1498,7,2,4
38,-53.7394,-12.9788,-1498,7,2,4
39,-64.3728,-19.1825,-1498,7,2,4
40,-82.3447,-27.5595,-1498,7,2,4
41,-56.9805,-20.4416,-1498,7,2,4
42,-70.518,-24.0517,-1498,7,2,4
43,-70.7211,-19.8325,-1498,7,2,4
44,-57.591,-9.22422,-1498,7,2,4
45,-75.1647,-9.99809,-1498,7,2,4
46,-90.8118,-17.6812,-1498,7,2,4
47,-53.3892,-14.4374,-1498,7,2,4
